"congress","chamber","num_results","offset","members__id","members__api_uri","members__name","members__party","members__state","members__district","members__total_votes","members__missed_votes","members__missed_votes_pct","members__rank","members__notes"
"","","","","C001108","https://api.propublica.org/congress/v1/members/C001108.json","James Comer","R","KY","1","47","0","0.00","434",""
"","","","","H001050","https://api.propublica.org/congress/v1/members/H001050.json","Colleen Hanabusa","D","HI","1","47","0","0.00","435",""
"","","","","C001062","https://api.propublica.org/congress/v1/members/C001062.json","K. Michael Conaway","R","TX","11","1325","0","0.00","436",""
"","","","","W000809","https://api.propublica.org/congress/v1/members/W000809.json","Steve Womack","R","AR","3","1325","0","0.00","437",""
"","","","","A000367","https://api.propublica.org/congress/v1/members/A000367.json","Justin Amash","R","MI","3","1325","0","0.00","438",""
"","","","","L000554","https://api.propublica.org/congress/v1/members/L000554.json","Frank A. LoBiondo","R","NJ","2","1325","0","0.00","439",""
"","","","","S000244","https://api.propublica.org/congress/v1/members/S000244.json","F. James Sensenbrenner","R","WI","5","1325","0","0.00","440",""
"","","","","P000610","https://api.propublica.org/congress/v1/members/P000610.json","Stacey Plaskett","D","VI","79","null","null","null","441",""
"","","","","R000600","https://api.propublica.org/congress/v1/members/R000600.json","Amata Coleman Radewagen","R","AS","79","null","null","null","442",""
"","","","","P000596","https://api.propublica.org/congress/v1/members/P000596.json","Pedro Pierluisi","D","PR","80","null","null","null","443","Running for governor"
"","","","","S001177","https://api.propublica.org/congress/v1/members/S001177.json","Gregorio Kilili Camacho Sablan","D","MP","79","null","null","null","444",""
"","","","","B001245","https://api.propublica.org/congress/v1/members/B001245.json","Madeleine Z. Bordallo","D","GU","79","null","null","null","445",""
"","","","","B000589","https://api.propublica.org/congress/v1/members/B000589.json","John A. Boehner","R","OH","8","null","null","null","446","Speaker votes at his discretion"
"","","","","R000570","https://api.propublica.org/congress/v1/members/R000570.json","Paul D. Ryan","R","WI","1","null","null","null","447","Speaker votes at his discretion"
"","","","","G000569","https://api.propublica.org/congress/v1/members/G000569.json","Mike Grimm","R","NY","11","null","null","null","448","Resigned from the House on Jan. 5, 2015"
"","","","","N000186","https://api.propublica.org/congress/v1/members/N000186.json","Alan Nunnelee","R","MS","1","null","null","null","449","Died on Feb. 6, 2015"
"","","","","N000147","https://api.propublica.org/congress/v1/members/N000147.json","Eleanor Holmes Norton","D","DC","79","null","null","null","450",""
