id,api_uri,name,party,state,district,total_votes,votes_with_party,party_votes_pct,rank,notes
N000189,https://api.propublica.org/congress/v1/members/N000189.json,Dan Newhouse,R,WA,4,1325,1236,93.92,149,
P000609,https://api.propublica.org/congress/v1/members/P000609.json,Gary Palmer,R,AL,6,1325,1240,93.94,150,
B000574,https://api.propublica.org/congress/v1/members/B000574.json,Earl Blumenauer,D,OR,3,1325,1194,93.94,151,
G000556,https://api.propublica.org/congress/v1/members/G000556.json,Alan Grayson,D,FL,9,1325,1194,93.94,152,Running for Senate
Y000063,https://api.propublica.org/congress/v1/members/Y000063.json,Kevin Yoder,R,KS,3,1325,1228,93.96,153,
P000593,https://api.propublica.org/congress/v1/members/P000593.json,Ed Perlmutter,D,CO,7,1325,1182,93.96,154,
J000126,https://api.propublica.org/congress/v1/members/J000126.json,Eddie Bernice Johnson,D,TX,30,1325,1152,93.96,155,
D000621,https://api.propublica.org/congress/v1/members/D000621.json,Ron DeSantis,R,FL,6,1325,1215,93.97,156,Running for Senate
C001037,https://api.propublica.org/congress/v1/members/C001037.json,Michael E. Capuano,D,MA,7,1325,1210,94.02,157,
G000553,https://api.propublica.org/congress/v1/members/G000553.json,Al Green,D,TX,9,1325,1195,94.02,158,
S000030,https://api.propublica.org/congress/v1/members/S000030.json,Loretta Sánchez,D,CA,46,1325,881,94.02,159,Running for Senate
G000559,https://api.propublica.org/congress/v1/members/G000559.json,John Garamendi,D,CA,3,1325,1196,94.03,160,
H001047,https://api.propublica.org/congress/v1/members/H001047.json,Jim Himes,D,CT,4,1325,1234,94.05,161,
C001045,https://api.propublica.org/congress/v1/members/C001045.json,Ander Crenshaw,R,FL,4,1325,1222,94.07,162,"Announced retirement on April 13, 2016"
S001188,https://api.propublica.org/congress/v1/members/S001188.json,Marlin Stutzman,R,IN,3,1325,1161,94.08,163,Running for Senate
G000570,https://api.propublica.org/congress/v1/members/G000570.json,Frank Guinta,R,NH,1,1325,1225,94.09,164,Lost general election.
R000395,https://api.propublica.org/congress/v1/members/R000395.json,Harold Rogers,R,KY,5,1325,1233,94.12,165,
S001154,https://api.propublica.org/congress/v1/members/S001154.json,Bill Shuster,R,PA,9,1325,1235,94.13,166,
M001151,https://api.propublica.org/congress/v1/members/M001151.json,Tim Murphy,R,PA,18,1325,1236,94.14,167,
R000580,https://api.propublica.org/congress/v1/members/R000580.json,Peter Roskam,R,IL,6,1325,1173,94.14,168,
K000376,https://api.propublica.org/congress/v1/members/K000376.json,Mike Kelly,R,PA,3,1325,1243,94.17,169,
C001076,https://api.propublica.org/congress/v1/members/C001076.json,Jason Chaffetz,R,UT,3,1325,1199,94.19,170,
P000591,https://api.propublica.org/congress/v1/members/P000591.json,Tom Price,R,GA,6,1325,1201,94.2,171,
A000369,https://api.propublica.org/congress/v1/members/A000369.json,Mark Amodei,R,NV,2,1325,1170,94.2,172,
K000382,https://api.propublica.org/congress/v1/members/K000382.json,Ann McLane Kuster,D,NH,2,1325,1238,94.22,173,
